ISO3,Country,Carbon Tax,ETS
ARG,Argentina,2018,0
AUS,Australia,0,2012
AUT,Austria,0,2023
CAN,Canada,2019,2018
CHE,Switzerland,2008,2008
CHL,Chile,2017,0
CHN,China,0,2017
COL,Colombia,2018,0
DEU,Germany,0,2021
DNK,Denmark,1992,0
ESP,Spain,2014,0
FIN,Finland,1990,0
FRA,France,2014,0
GBR,United Kingdom,0,2021
IDN,Indonesia,0,2022
IRL,Ireland,2010,0
ISL,Iceland,2010,0
JPN,Japan,2012,0
KAZ,Kazakhstan,0,2013
KOR,"Korea, Rep.",0,2015
LUX,Luxembourg,2021,0
MEX,Mexico,2014,0
NLD,Netherlands,2021,0
NOR,Norway,1991,0
NZL,New Zealand,0,2008
POL,Poland,1990,0
PRT,Portugal,2015,0
SGP,Singapore,2019,0
SVN,Slovenia,1996,0
SWE,Sweden,1991,0
UKR,Ukraine,2011,0
ZAF,South Africa,2019,0
