Economy ISO3,Country,Carbon Tax,ETS
ARG,Argentina,0,0
AUS,Australia,0,0
AUT,Austria,0,0
CAN,Canada,0,0
CHE,Switzerland,0,0
CHL,Chile,0,0
CHN,China,0,0
COL,Colombia,0,0
DEU,Germany,0,0
DNK,Denmark,0,0
ESP,Spain,0,0
EST,Estonia,0,0
FIN,Finland,0,0
FRA,France,0,0
GBR,United Kingdom,0,0
IDN,Indonesia,0,0
IRL,Ireland,0,0
ISL,Iceland,0,0
JPN,Japan,0,0
KAZ,Kazakhstan,0,0
KOR,"Korea, Rep.",0,0
LIE,Liechtenstein,0,0
LUX,Luxembourg,0,0
LVA,Latvia,0,0
MEX,Mexico,0,0
NLD,Netherlands,0,0
NOR,Norway,0,0
NZL,New Zealand,0,0
POL,Poland,0,0
PRT,Portugal,0,0
SGP,Singapore,0,0
SVN,Slovenia,0,0
SWE,Sweden,0,0
UKR,Ukraine,0,0
URY,Uruguay,0,0
ZAF,South Africa,0,0
